/Users/Danimelatru/.pyenv/versions/3.10.11/lib/python3.10/runpy.py:126: RuntimeWarning: 'src.training.train_dpo' found in sys.modules after import of package 'src.training', but prior to execution of 'src.training.train_dpo'; this may result in unpredictable behaviour
2026-01-30 13:54:05,974 - httpx - INFO - HTTP Request: HEAD https://huggingface.co/meta-llama/Meta-Llama-3-8B-Instruct/resolve/main/special_tokens_map.json "HTTP/1.1 200 OK"
2026-01-30 13:54:06,155 - httpx - INFO - HTTP Request: GET https://huggingface.co/meta-llama/Meta-Llama-3-8B-Instruct/resolve/main/special_tokens_map.json "HTTP/1.1 200 OK"
2026-01-30 13:54:06,334 - httpx - INFO - HTTP Request: HEAD https://huggingface.co/meta-llama/Meta-Llama-3-8B-Instruct/resolve/main/chat_template.jinja "HTTP/1.1 404 Not Found"
2026-01-30 13:54:07,169 - httpx - INFO - HTTP Request: GET https://huggingface.co/api/models/meta-llama/Meta-Llama-3-8B-Instruct "HTTP/1.1 200 OK"
2026-01-30 13:54:07,200 - src.training.trainer - INFO - Loading base model: meta-llama/Meta-Llama-3-8B-Instruct
2026-01-30 13:54:07,200 - src.training.trainer - INFO - Attempting to load from cache (offline mode)...
2026-01-30 13:54:07,350 - httpx - INFO - HTTP Request: HEAD https://huggingface.co/meta-llama/Meta-Llama-3-8B-Instruct/resolve/main/adapter_config.json "HTTP/1.1 404 Not Found"
`torch_dtype` is deprecated! Use `dtype` instead!
2026-01-30 13:54:07,367 - src.training.trainer - WARNING - Cache incomplete or missing: meta-llama/Meta-Llama-3-8B-Instruct does not appear to have a file named pytorch_model.bin or model....
2026-01-30 13:54:07,367 - src.training.trainer - INFO - Downloading model from HuggingFace (this will take 10-20 minutes for 16GB)...
2026-01-30 13:54:07,367 - src.training.trainer - INFO - You can cancel and download manually if preferred.
2026-01-30 13:54:07,540 - httpx - INFO - HTTP Request: HEAD https://huggingface.co/meta-llama/Meta-Llama-3-8B-Instruct/resolve/main/config.json "HTTP/1.1 200 OK"
2026-01-30 13:54:07,699 - httpx - INFO - HTTP Request: HEAD https://huggingface.co/meta-llama/Meta-Llama-3-8B-Instruct/resolve/main/config.json "HTTP/1.1 200 OK"
2026-01-30 13:54:07,854 - httpx - INFO - HTTP Request: HEAD https://huggingface.co/meta-llama/Meta-Llama-3-8B-Instruct/resolve/main/model.safetensors "HTTP/1.1 404 Not Found"
2026-01-30 13:54:08,066 - httpx - INFO - HTTP Request: HEAD https://huggingface.co/meta-llama/Meta-Llama-3-8B-Instruct/resolve/main/model.safetensors.index.json "HTTP/1.1 200 OK"
2026-01-30 13:54:08,235 - httpx - INFO - HTTP Request: GET https://huggingface.co/meta-llama/Meta-Llama-3-8B-Instruct/resolve/main/model.safetensors.index.json "HTTP/1.1 200 OK"
2026-01-30 13:54:08,467 - httpx - INFO - HTTP Request: GET https://huggingface.co/api/models/meta-llama/Meta-Llama-3-8B-Instruct/revision/main "HTTP/1.1 200 OK"
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]2026-01-30 13:54:08,663 - httpx - INFO - HTTP Request: HEAD https://huggingface.co/meta-llama/Meta-Llama-3-8B-Instruct/resolve/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2/model-00002-of-00004.safetensors "HTTP/1.1 302 Found"
2026-01-30 13:54:08,851 - httpx - INFO - HTTP Request: GET https://huggingface.co/api/models/meta-llama/Meta-Llama-3-8B-Instruct/xet-read-token/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2 "HTTP/1.1 200 OK"
2026-01-30 13:54:08,852 - httpx - INFO - HTTP Request: HEAD https://huggingface.co/meta-llama/Meta-Llama-3-8B-Instruct/resolve/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2/model-00003-of-00004.safetensors "HTTP/1.1 302 Found"
2026-01-30 13:54:08,854 - httpx - INFO - HTTP Request: HEAD https://huggingface.co/meta-llama/Meta-Llama-3-8B-Instruct/resolve/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2/model-00004-of-00004.safetensors "HTTP/1.1 302 Found"
2026-01-30 13:54:08,874 - httpx - INFO - HTTP Request: HEAD https://huggingface.co/meta-llama/Meta-Llama-3-8B-Instruct/resolve/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2/model-00001-of-00004.safetensors "HTTP/1.1 302 Found"
